temperature,current,voltage,vibration,label
67.26,8.66,204.4,0.3,0.0
68.74,8.25,212.82,0.33,0.0
64.41,7.79,198.28,0.27,0.0
65.28,7.78,197.38,0.28,0.0
69.34,7.66,208.03,0.32,0.0
67.55,7.92,205.44,0.29,0.0
65.29,8.26,198.69,0.43,0.0
70.03,7.17,213.87,0.22,0.0
103.91,18.54,157.02,1.03,1.0
61.59,7.98,190.87,0.37,0.0
63.53,7.19,213.32,0.37,0.0
69.79,8.06,202.28,0.35,0.0
56.35,9.35,218.42,0.25,0.0
74.42,8.95,207.55,0.34,0.0
49.85,8.89,206.91,0.32,0.0
63.45,8.8,194.5,0.35,0.0
72.55,8.19,197.08,0.21,0.0
62.5,9.31,198.76,0.31,0.0
68.2,8.32,198.41,0.37,0.0
110.38,13.85,181.88,0.99,1.0
67.72,7.53,209.49,0.37,0.0
62.16,9.15,207.51,0.48,0.0
69.78,7.69,198.76,0.41,0.0
59.42,8.03,204.99,0.19,0.0
64.75,7.95,193.62,0.29,0.0
67.2,9.68,204.81,0.32,0.0
58.79,8.13,206.23,0.19,0.0
61.86,7.21,201.4,0.26,0.0
69.73,8.08,210.03,0.26,0.0
63.54,6.91,206.97,0.32,0.0
67.26,8.57,204.87,0.29,0.0
65.48,8.48,219.74,0.33,0.0
58.16,8.21,185.41,0.24,0.0
66.28,7.92,212.98,0.25,0.0
68.02,7.99,209.73,0.35,0.0
63.87,6.47,194.09,0.2,0.0
64.95,8.72,199.99,0.31,0.0
72.11,9.09,203.29,0.32,0.0
68.69,10.13,211.68,0.38,0.0
64.58,8.73,206.79,0.42,0.0
64.28,8.6,218.53,0.3,0.0
69.44,7.79,205.69,0.37,0.0
70.55,7.9,203.03,0.28,0.0
67.31,8.29,192.64,0.37,0.0
66.64,7.86,204.46,0.28,0.0
71.5,6.97,202.11,0.22,0.0
65.33,8.1,212.66,0.37,0.0
69.95,7.15,201.34,0.38,0.0
61.13,8.68,191.04,0.31,0.0
62.89,7.25,201.13,0.27,0.0
69.47,7.63,202.1,0.32,0.0
106.65,20.49,190.09,0.91,1.0
66.39,7.42,204.8,0.34,0.0
69.62,9.38,201.62,0.28,0.0
61.69,8.71,202.21,0.2,0.0
64.36,7.67,209.63,0.43,0.0
67.5,7.26,200.39,0.24,0.0
61.69,10.13,203.26,0.27,0.0
62.12,7.4,198.98,0.31,0.0
65.91,8.33,210.17,0.35,0.0
70.3,8.35,198.85,0.29,0.0
65.97,8.42,212.74,0.36,0.0
61.64,9.09,204.42,0.48,0.0
65.15,7.35,215.46,0.28,0.0
63.98,7.91,197.86,0.42,0.0
68.37,9.4,197.29,0.23,0.0
64.97,7.22,208.38,0.37,0.0
61.3,9.26,200.65,0.29,0.0
74.53,8.2,219.83,0.21,0.0
64.1,8.48,196.38,0.2,0.0
69.51,9.26,201.42,0.33,0.0
68.2,8.77,211.28,0.41,0.0
66.71,9.0,201.91,0.37,0.0
63.05,9.39,187.0,0.28,0.0
68.21,8.45,196.08,0.31,0.0
63.79,7.67,202.82,0.31,0.0
103.97,18.7,200.83,0.98,1.0
63.0,8.79,210.45,0.4,0.0
59.72,7.78,192.82,0.24,0.0
70.21,7.88,196.38,0.33,0.0
76.67,9.25,204.06,0.3,0.0
76.07,7.92,206.33,0.42,0.0
61.14,8.56,205.1,0.49,0.0
64.26,7.8,194.33,0.34,0.0
65.87,8.18,181.96,0.29,0.0
64.65,9.06,199.62,0.33,0.0
61.26,9.95,196.39,0.3,0.0
111.17,18.21,182.26,0.84,1.0
59.17,9.13,201.17,0.27,0.0
66.67,7.49,198.93,0.35,0.0
66.35,8.47,212.59,0.25,0.0
68.81,9.99,205.96,0.31,0.0
65.78,7.8,201.55,0.25,0.0
71.08,7.87,209.45,0.41,0.0
100.44,17.05,257.42,0.98,1.0
67.11,8.85,201.39,0.27,0.0
72.14,9.59,189.98,0.23,0.0
56.18,8.37,198.89,0.31,0.0
70.61,8.52,194.5,0.44,0.0
62.44,7.75,208.69,0.22,0.0
64.58,8.81,205.75,0.25,0.0
63.17,8.4,216.82,0.33,0.0
61.15,6.09,201.08,0.27,0.0
68.87,7.37,195.68,0.29,0.0
66.45,7.56,192.65,0.28,0.0
63.79,7.24,200.75,0.37,0.0
67.69,8.45,223.24,0.34,0.0
68.28,8.76,219.84,0.32,0.0
64.81,7.05,201.59,0.3,0.0
66.2,8.46,194.9,0.19,0.0
56.75,7.61,201.9,0.32,0.0
64.58,6.49,207.04,0.34,0.0
104.67,19.56,206.37,0.92,1.0
69.89,7.29,207.42,0.31,0.0
105.79,20.17,176.38,0.91,1.0
64.88,9.35,197.91,0.35,0.0
70.59,7.76,210.17,0.29,0.0
71.58,8.01,207.33,0.32,0.0
61.27,8.68,189.99,0.41,0.0
64.74,7.81,192.82,0.37,0.0
67.53,7.64,204.69,0.27,0.0
67.44,7.31,193.1,0.25,0.0
62.71,8.3,204.01,0.25,0.0
61.19,7.48,203.03,0.31,0.0
61.14,9.53,196.8,0.34,0.0
62.81,8.58,213.79,0.21,0.0
65.68,8.31,205.87,0.15,0.0
72.37,8.06,189.07,0.43,0.0
61.69,8.06,195.9,0.38,0.0
70.34,8.13,199.84,0.31,0.0
62.92,9.34,194.82,0.14,0.0
59.79,8.48,192.31,0.33,0.0
66.68,9.2,209.77,0.29,0.0
65.35,8.1,211.83,0.33,0.0
63.14,7.86,219.0,0.36,0.0
68.97,10.31,205.78,0.27,0.0
63.02,10.01,198.72,0.18,0.0
70.77,7.53,199.76,0.25,0.0
56.81,8.62,208.63,0.29,0.0
63.02,7.27,203.5,0.42,0.0
73.88,8.72,205.55,0.25,0.0
65.52,7.54,220.31,0.25,0.0
64.03,8.8,194.79,0.3,0.0
60.59,7.92,210.12,0.34,0.0
66.58,7.88,192.22,0.4,0.0
71.05,7.96,203.63,0.26,0.0
67.78,9.1,206.82,0.32,0.0
64.48,8.71,204.08,0.38,0.0
70.27,10.32,209.81,0.29,0.0
69.1,7.35,187.81,0.33,0.0
70.04,6.87,210.78,0.33,0.0
63.55,8.46,198.23,0.27,0.0
62.05,8.51,201.49,0.23,0.0
66.13,7.69,194.35,0.33,0.0
62.28,7.22,205.15,0.3,0.0
99.48,18.32,185.61,0.91,1.0
104.5,19.58,162.77,0.94,1.0
62.09,9.28,206.27,0.23,0.0
66.36,8.29,195.65,0.33,0.0
60.62,9.15,206.72,0.32,0.0
59.18,9.04,198.81,0.37,0.0
61.97,7.33,204.99,0.31,0.0
70.6,8.27,193.54,0.34,0.0
66.87,6.86,203.95,0.26,0.0
61.16,8.85,206.66,0.41,0.0
66.77,9.63,206.48,0.33,0.0
62.47,8.57,207.54,0.28,0.0
106.62,15.48,156.87,0.82,1.0
67.31,7.36,204.05,0.29,0.0
67.27,7.46,204.14,0.15,0.0
71.15,8.31,207.08,0.4,0.0
64.86,7.32,192.46,0.25,0.0
